Mon May  5 09:44:27 -10 2025 | GPU:  | CPU: CPU usage: 3.89% user, 9.52% sys, 86.58% idle 
Mon May  5 09:44:37 -10 2025 | GPU:  | CPU: CPU usage: 5.2% user, 10.4% sys, 84.93% idle 
Mon May  5 09:44:48 -10 2025 | GPU:  | CPU: CPU usage: 3.86% user, 10.42% sys, 85.71% idle 
Mon May  5 09:44:58 -10 2025 | GPU:  | CPU: CPU usage: 4.81% user, 10.37% sys, 84.81% idle 
Mon May  5 09:45:09 -10 2025 | GPU:  | CPU: CPU usage: 8.36% user, 16.72% sys, 74.91% idle 
Mon May  5 09:45:19 -10 2025 | GPU:  | CPU: CPU usage: 8.52% user, 15.11% sys, 76.35% idle 
Mon May  5 09:45:30 -10 2025 | GPU:  | CPU: CPU usage: 11.37% user, 11.37% sys, 77.25% idle 
Mon May  5 09:45:40 -10 2025 | GPU:  | CPU: CPU usage: 6.3% user, 10.56% sys, 83.39% idle 
Mon May  5 09:45:51 -10 2025 | GPU:  | CPU: CPU usage: 4.94% user, 9.12% sys, 85.93% idle 
Mon May  5 09:46:01 -10 2025 | GPU:  | CPU: CPU usage: 6.74% user, 9.73% sys, 83.52% idle 
Mon May  5 09:46:12 -10 2025 | GPU:  | CPU: CPU usage: 11.53% user, 10.76% sys, 77.69% idle 
Mon May  5 09:46:23 -10 2025 | GPU:  | CPU: CPU usage: 15.38% user, 13.7% sys, 71.53% idle 
Mon May  5 09:46:33 -10 2025 | GPU:  | CPU: CPU usage: 3.58% user, 9.56% sys, 86.85% idle 
Mon May  5 09:46:44 -10 2025 | GPU:  | CPU: CPU usage: 7.60% user, 11.2% sys, 81.36% idle 
Mon May  5 09:46:54 -10 2025 | GPU:  | CPU: CPU usage: 7.35% user, 11.2% sys, 81.61% idle 
Mon May  5 09:47:05 -10 2025 | GPU:  | CPU: CPU usage: 5.93% user, 9.74% sys, 84.32% idle 
Mon May  5 09:47:15 -10 2025 | GPU:  | CPU: CPU usage: 5.12% user, 10.68% sys, 84.18% idle 
Mon May  5 09:47:26 -10 2025 | GPU:  | CPU: CPU usage: 5.7% user, 10.15% sys, 84.76% idle 
Mon May  5 09:47:36 -10 2025 | GPU:  | CPU: CPU usage: 4.63% user, 10.3% sys, 85.32% idle 
Mon May  5 09:47:47 -10 2025 | GPU:  | CPU: CPU usage: 4.15% user, 10.56% sys, 85.28% idle 
Mon May  5 09:47:57 -10 2025 | GPU:  | CPU: CPU usage: 5.0% user, 11.15% sys, 83.84% idle 
Mon May  5 09:48:08 -10 2025 | GPU:  | CPU: CPU usage: 5.92% user, 10.37% sys, 83.70% idle 
Mon May  5 09:48:18 -10 2025 | GPU:  | CPU: CPU usage: 2.63% user, 9.77% sys, 87.59% idle 
Mon May  5 09:48:29 -10 2025 | GPU:  | CPU: CPU usage: 2.68% user, 9.57% sys, 87.73% idle 
Mon May  5 09:48:39 -10 2025 | GPU:  | CPU: CPU usage: 3.29% user, 9.52% sys, 87.17% idle 
Mon May  5 09:48:50 -10 2025 | GPU:  | CPU: CPU usage: 4.81% user, 8.88% sys, 86.29% idle 
Mon May  5 09:49:01 -10 2025 | GPU:  | CPU: CPU usage: 2.96% user, 9.62% sys, 87.40% idle 
Mon May  5 09:49:11 -10 2025 | GPU:  | CPU: CPU usage: 6.29% user, 9.62% sys, 84.7% idle 
Mon May  5 09:49:22 -10 2025 | GPU:  | CPU: CPU usage: 2.93% user, 9.52% sys, 87.54% idle 
Mon May  5 09:49:32 -10 2025 | GPU:  | CPU: CPU usage: 4.85% user, 10.7% sys, 85.7% idle 
Mon May  5 09:49:43 -10 2025 | GPU:  | CPU: CPU usage: 6.81% user, 10.60% sys, 82.57% idle 
Mon May  5 09:49:53 -10 2025 | GPU:  | CPU: CPU usage: 8.23% user, 11.23% sys, 80.52% idle 
